"Person","Country","Industry","age","Net Worth, $B","Rank","Time",
"Jiang Bin","China","acoustic components","48","3.3","534","2015",
"Jean-Claude Decaux","France","advertising","77","6.7","201","2015",
"Jean-Claude Decaux & family","France","advertising","76","7.7","168","2014",
"Elisabeth Badinter","France","advertising","71","1.7","1173","2015",
"Elisabeth Badinter & family","France","advertising","70","1.8","988","2014",
"Alexander Lutsenko","Russia","agribusiness","52","1.1","1638","2015",
"Blairo Maggi","Brazil","agribusiness","58","1.2","1605","2015",
"Hugo Ribeiro","Brazil","agribusiness","","1","1741","2015",
"Itamar Locks","Brazil","agribusiness","60","1.2","1605","2015",
"Li Denghai","China","agribusiness","64","1","1565","2014",
"Liu Yonghao","China","agribusiness","63","4.7","341","2015",
"Liu Yonghao & family","China","agribusiness","62","3.2","506","2014",
"Liu Yongxing","China","agribusiness","66","6.6","208","2015",
"Liu Yongxing","China","agribusiness","65","5.5","256","2014",
"Lucia Maggi","Brazil","agribusiness","83","1.2","1605","2015",
"Marli Pissollo","Brazil","agribusiness","60","1.1","1638","2015",
"Robert Ingham","Australia","agribusiness","82","1","1565","2014",
"Shao Genhuo","China","agribusiness","48","1.7","1046","2014",
"Shao Genhuo","China","agribusiness","49","2","949","2015",
"Yuriy Kosiuk","Ukraine","agriculture","46","1.1","1638","2015",
"Yuriy Kosiuk","Ukraine","agriculture","45","1.5","1154","2014",
"Ioan Niculae","Romania","agriculture","59","1.2","1372","2014",
"Ioan Niculae","Romania","agriculture","60","1.2","1605","2015",
"Andrej Babis","Czech Republic","agriculture","59","2.4","731","2014",
"Andrej Babis","Czech Republic","agriculture","60","2.5","737","2015",
"Harry Stine","United States","agriculture","72","3","551","2014",
"Harry Stine","United States","agriculture","73","3.3","534","2015",
"Vadim Moshkovich","Russia","agriculture, development","46","1.3","1284","2014",
"Vadim Moshkovich","Russia","agriculture, land","47","1.9","1006","2015",
"Sergei Kislov","Russia","agriculture, refinery","53","1.1","1465","2014",
"Stewart and Lynda Resnick","United States","agriculture, water","","4.2","393","2015",
"Stewart and Lynda Resnick","United States","agriculture, water","0","3.5","446","2014",
"Cao Kejian","China","air compressors","52","1.5","1312","2015",
"Achal Bakeri","India","air coolers","55","1.1","1712","2015",
"Brian Chesky","United States","Airbnb","33","1.9","1006","2015",
"Joe Gebbia","United States","Airbnb","33","1.9","1006","2015",
"Nathan Blecharczyk","United States","Airbnb","31","1.9","1006","2015",
"Steven Udvar-Hazy","United States","aircraft leasing","69","3.7","462","2015",
"Steven Udvar-Hazy","United States","aircraft leasing","68","3.6","430","2014",
"Valery Kogan","Russia","airport","63","2.5","687","2014",
"Dmitry Kamenshchik","Russia","airport","45","1.4","1210","2014",
"Dmitry Kamenshchik","Russia","airport","46","3.8","452","2015",
"Eduardo Eurnekian","Argentina","airports, investments","82","1.9","1006","2015",
"Eduardo Eurnekian","Argentina","airports, investments","81","1.9","931","2014",
"Benedicta Chamberlain","United Kingdom","alcohol","71","1.4","1324","2015",
"Benedicta Chamberlain","United Kingdom","alcohol","70","1.2","1372","2014",
